ComputerName,user_state,HardwareVendor,HardwareModel,device_os,Device Group
LOFT-SPW-0474,ACTIVATED,Dell Inc.,Vostro 5471,Windows,GRP-BR-Windows-Dell
LOFT-W3638,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6332,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3555,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3370,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3140,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2693,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W0683,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3416,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3006,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CREDH-W3190,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CREDH-W3171,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3474,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-W3459,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-W3294,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-W2268,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-W3026,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CREDH-W3032,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CPJVL2129,ACTIVATED,Dell Inc.,Inspiron 15 5510,Windows,GRP-BR-Windows-Dell
CP-CWB-W004,ACTIVATED,Dell Inc.,Inspiron 15 5510,Windows,GRP-BR-Windows-Dell
CP-JVL-W0178,,Dell Inc.,Inspiron 3583,Windows,GRP-BR-Windows-Dell
CP-W3175,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-W2133,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-W3021,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-W3033,SUSPENDED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-W3010,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CREDH-W3162,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-JVL-W0823,,Dell Inc.,Inspiron 3583,Windows,GRP-BR-Windows-Dell
cp-jvl-l2059,ACTIVATED,Dell Inc.,Inspiron 15 5510,Ubuntu,GRP-BR-Windows-Dell
CP-JVL-W2125,ACTIVATED,Dell Inc.,Inspiron 3501,Windows,GRP-BR-Windows-Dell
LOFT-W2486,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3133,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3470,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3664,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6333,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3744,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0979,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W2267,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-CWB-W1034,,Dell Inc.,Inspiron 5301,Windows,GRP-BR-Windows-Dell
LOFT-W3500,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6228,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0473,SUSPENDED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W6048,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2165,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3192,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3000,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W2346,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-CWB-W1246,ACTIVATED,Dell Inc.,Inspiron 15 5510,Windows,GRP-BR-Windows-Dell
LOFT-W0185,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W0756,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W0629,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W6065,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CP-W2130,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-W2237,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
CP-CWB-W2480,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
